Date,Price,Open,High,Low,Volume,Change %,Vol.
12/16/2023,0.003283,0.00347,0.003492,0.003156,253170000,-5.39%,253.17M
12/17/2023,0.00347,0.003516,0.003516,0.003428,232570000,-1.34%,232.57M
12/18/2023,0.003517,0.003566,0.003645,0.003506,273400000,-1.38%,273.40M
12/19/2023,0.003566,0.003597,0.003608,0.00338,268760000,-0.85%,268.76M
12/20/2023,0.003597,0.003635,0.003782,0.003424,306870000,-1.23%,306.87M
12/21/2023,0.003641,0.003657,0.003855,0.003587,344310000,-0.42%,344.31M
12/22/2023,0.003657,0.003487,0.003753,0.003373,363390000,4.90%,363.39M
12/23/2023,0.003486,0.003132,0.003529,0.003132,474290000,11.58%,474.29M
12/24/2023,0.003124,0.003328,0.003328,0.002817,472840000,-6.29%,472.84M
12/25/2023,0.003334,0.003523,0.003577,0.003283,303570000,-5.37%,303.57M
12/26/2023,0.003523,0.003541,0.003648,0.003452,338280000,-0.50%,338.28M
12/27/2023,0.003541,0.003596,0.003709,0.003314,537900000,-1.62%,537.90M
12/28/2023,0.003599,0.003971,0.004044,0.003532,336980000,-9.36%,336.98M
12/29/2023,0.003971,0.00404,0.004144,0.003915,224990000,-1.71%,224.99M
12/30/2023,0.00404,0.004159,0.004216,0.003868,288110000,-2.88%,288.11M
12/31/2023,0.004159,0.003988,0.004231,0.003854,457170000,4.28%,457.17M
1/1/2024,0.003989,0.004151,0.004416,0.003956,312140000,-3.91%,312.14M
1/2/2024,0.004151,0.003995,0.004166,0.00359,416080000,3.90%,416.08M
1/3/2024,0.003995,0.00406,0.004451,0.003879,557510000,-1.60%,557.51M
1/4/2024,0.00406,0.004606,0.004691,0.004042,508640000,-11.85%,508.64M
1/5/2024,0.004606,0.005265,0.005265,0.004572,446810000,-12.45%,446.81M
1/6/2024,0.005261,0.005466,0.005512,0.005231,207740000,-3.75%,207.74M
1/7/2024,0.005466,0.005262,0.005496,0.005159,298530000,3.87%,298.53M
1/8/2024,0.005262,0.005549,0.005711,0.005244,377760000,-5.16%,377.76M
1/9/2024,0.005549,0.006193,0.00627,0.005508,380890000,-10.41%,380.89M
1/10/2024,0.006193,0.00607,0.006253,0.005922,218760000,2.03%,218.76M
1/11/2024,0.00607,0.00633,0.006394,0.006043,261750000,-4.11%,261.75M
1/12/2024,0.00633,0.006294,0.006536,0.006196,296320000,0.58%,296.32M
1/13/2024,0.006294,0.006083,0.006501,0.005859,307480000,3.47%,307.48M
1/14/2024,0.006083,0.006272,0.006377,0.00586,376450000,-3.01%,376.45M
1/15/2024,0.006272,0.006675,0.006816,0.006216,421000000,-6.04%,421.00M
1/16/2024,0.006675,0.006233,0.006863,0.005979,549220000,7.09%,549.22M
1/17/2024,0.006233,0.006648,0.00691,0.005999,751210000,-6.25%,751.21M
1/18/2024,0.006648,0.007162,0.007502,0.006428,966620000,-7.04%,966.62M
1/19/2024,0.007152,0.006712,0.00843,0.006414,1630000000,6.54%,1.63B
1/20/2024,0.006712,0.006468,0.006852,0.006314,379130000,3.87%,379.13M
1/21/2024,0.006463,0.007035,0.007136,0.006213,593330000,-8.14%,593.33M
1/22/2024,0.007035,0.006952,0.007262,0.006779,597290000,1.20%,597.29M
1/23/2024,0.006952,0.007303,0.007414,0.006423,886210000,-4.81%,886.21M
1/24/2024,0.007303,0.006789,0.008065,0.006713,1560000000,7.64%,1.56B
1/25/2024,0.006785,0.005696,0.007088,0.00569,1250000000,19.16%,1.25B
1/26/2024,0.005694,0.005548,0.005699,0.005273,356000000,2.62%,356.00M
1/27/2024,0.005548,0.004942,0.005569,0.004939,384770000,12.27%,384.77M
1/28/2024,0.004942,0.005018,0.005242,0.004637,428130000,-1.53%,428.13M
1/29/2024,0.005018,0.005027,0.005596,0.004776,623050000,-0.19%,623.05M
